Image Filename,Excel Code,Source,Regal Code,Generic Name,Profile Description
"MA-100.png","MA -100","Regal","MA 100","External Long Rail_60mm","Long Rail - 60mm Height - External"
"MA-102.png","MA -102","Regal","MA 102","External 60mm Long Rail Jointer","Jointer for 60mm Height - External Long Rail"
"MA-110.png","MA -110","Regal","MA 110","Unified U Cleat","Unified U Cleat - 76mm Height"
"MA-35.png","MA - 35","Regal","MA 35","Mid Clamp - 21mm Module Gap","Mid Clamp - 9mm Height - 21mm Gap - 3.5mm Thickness"
"MA-43.png","MA -43","Regal","MA 43","40mm Long Rail","Long Rail - 40mm Height - External"
"MA-43.png","MA - 43","Regal","MA 43","40mm Long Rail","Long Rail - 40mm Height - External"
"MA-44.png","MA - 44","Regal","MA 44","Inner U Cleat","U Cleat Inner"
"MA-46.png","MA - 46","Regal","MA 46","Hook Rail Nut","Rail Nut - External"
"MA-52.png","MA -52","Regal","MA 52","Asbestos Curved Base","Asbestos - Curved Base"
"MA-57.png","MA -57","Regal","MA 57","Standing Seam Walkway Clamp 1","Seam Clamp - 38mm Height - 14mm Gap - 30mm Seam Height - Top Thread"
"MA-72.png","MA -72","Regal","MA 72","External Long Rail Jointer","Jointer for 40mm Height - External Long Rail"
"SN-5306.png","SN - 5306","SNALCO","-","UX Long Rail - Large U Base","U Cleat - Outer - 145mm Height"
"SR-03.png","SR - 03","VARN","-","35mm End Clamp (Type 2)","End Clamp - 35mm Height - 20mm Gap - 3.5mm Thickness"